# S&P 500 Index ($SPX) downloaded from https://www.barchart.com/stocks/quotes/$SPX on 2020/10/29
Symbol,Name,Sector,Industry,Exchange,Options,"Market Cap [$K]",Volume,Price,Earnings,Price/Earnings,Dividend
ES,"Eversource Energy",Utilities,"Utility - Electric Power",NYSE,Yes,30466612,1347800,88.91,3.52,26.10,0.567
ESS,"Essex Property Trust",Finance,"REIT - Equity Trust Resident",NYSE,Yes,12149926,790500,186.32,9.51,14.53,2.078
ETN,"Eaton Corp","Industrial Products","Machinery - Electrical",NYSE,Yes,40934232,1446500,102.31,4.68,22.53,0.730
ETR,"Entergy Corp",Utilities,"Utility - Electric Power",NYSE,Yes,20583692,1863200,102.81,5.71,18.84,0.930
ETSY,"Etsy Inc","Computers and Technology","Internet - Services",NASDAQ,Yes,16662962,4827500,139.64,1.22,119.49,N/A
EVRG,"Evergy Inc",Oils-Energy,"Other Alt Energy",NYSE,Yes,12559466,2228300,55.37,2.98,18.92,0.505
EW,"Edwards Lifesciences Corp",Medical,"Medical Instruments",NYSE,Yes,45659152,3192300,73.26,1.84,41.58,N/A
EXC,"Exelon Corp",Utilities,"Utility - Electric Power",NASDAQ,Yes,38561124,6321700,39.57,3.17,12.98,0.382
EXPD,"Expeditors Intl",Transportation,"Transportation - Services",NASDAQ,Yes,14953506,1422700,89.19,3.53,26.71,0.520
EXPE,"Expedia Group Inc",Retail-Wholesale,"Internet Commerce",NASDAQ,Yes,12968876,2808300,91.83,-2.62,0.00,0.340
EXR,"Extra Space Storage Inc",Finance,"REIT - Equity Trust Other",NYSE,Yes,14933400,1132100,115.70,3.32,23.51,0.900
F,"Ford Motor Company",Auto-Tires-Trucks,"Auto - Domestic",NYSE,Yes,30633596,82938195,7.70,-0.12,0.00,0.150
FANG,"Diamondback Energy",Oils-Energy,"Oil - US Exploration & Product",NASDAQ,Yes,3882471,5808200,24.60,5.00,5.31,0.375
FAST,"Fastenal Company",Retail-Wholesale,"Building Prds Retail - Wsale",NASDAQ,Yes,24649836,3218800,42.94,1.46,29.85,0.250
FB,"Facebook Inc","Computers and Technology","Internet - Services",NASDAQ,Yes,762542592,23121799,267.67,8.19,34.59,N/A
FBHS,"Fortune Brands Home & Security","Industrial Products","Protection - Safety",NYSE,Yes,11246629,1942700,81.41,3.70,22.11,0.240
FCX,"Freeport-Mcmoran Inc","Basic Materials","Mining - Non Ferrous",NYSE,Yes,24498936,26441500,16.87,0.18,98.44,0.050
FDX,"Fedex Corp",Transportation,"Transportation - Air Freight",NYSE,Yes,68271296,4039100,259.99,11.32,24.24,0.650
FE,"Firstenergy Corp",Utilities,"Utility - Electric Power",NYSE,Yes,17217414,7772300,31.76,2.54,13.15,0.390
FFIV,"F5 Networks Inc","Computers and Technology","Internet - Software",NASDAQ,Yes,8210640,1753000,134.22,6.98,20.37,N/A
FIS,"Fidelity National Information Services","Business Services","Financial Transaction Services",NYSE,Yes,82103592,4285500,132.51,5.43,25.39,0.350
FISV,"Fiserv Inc","Business Services","Financial Transaction Services",NASDAQ,Yes,62625672,9223500,93.52,4.07,22.73,N/A
FITB,"Fifth Third Bncp",Finance,"Banks - Major Regional",NASDAQ,Yes,15982689,5165900,22.44,1.96,11.69,0.270
FLIR,"Flir Systems Inc",Aerospace,"Electronics - Military",NASDAQ,Yes,4460771,1200200,34.02,2.20,15.91,0.170
FLS,"Flowserve Corp","Industrial Products","Machinery - General Industrial",NYSE,Yes,3748608,1250400,28.80,1.99,14.84,0.200
FLT,"Fleetcor Technologies","Business Services","Financial Transaction Services",NYSE,Yes,18627604,1329100,221.62,11.07,20.93,N/A
FMC,"FMC Corp","Basic Materials","Chemical - Diversified",NYSE,Yes,13254601,627400,102.30,6.26,16.68,0.440
FOX,"Fox Corp Cl B","Consumer Discretionary","Broadcast - Radio & TV",NASDAQ,Yes,15131021,2046100,25.02,2.48,10.48,0.230
FOXA,"Fox Corp Cl A","Consumer Discretionary","Broadcast - Radio & TV",NASDAQ,Yes,15306400,3730000,25.31,2.48,10.56,0.230
FRC,"First Republic Bank",Finance,"Banks - West",NYSE,Yes,21305238,654700,123.80,5.60,22.46,0.200
FRT,"Federal Realty Investment Trust",Finance,"REIT - Equity Trust Retail",NYSE,Yes,5136645,873200,67.91,3.57,12.91,1.060
FTI,"Technipfmc Plc",Oils-Energy,"Oil - Field Services",NYSE,Yes,2392657,9612100,5.34,0.17,33.53,0.130
FTNT,"Fortinet Inc","Computers and Technology",Security,NASDAQ,Yes,19249916,1409200,118.95,2.13,58.32,N/A
FTV,"Fortive Corp","Computers and Technology","Electronic Test Equipment",NYSE,Yes,20834360,3424100,61.81,3.32,18.78,0.070
GD,"General Dynamics Corp",Aerospace,"Aerospace - Defense",NYSE,Yes,37998404,1866900,132.43,11.26,11.98,1.100
GE,"General Electric Company",Conglomerates,"Conglomerates - Div Operations",NYSE,Yes,64949404,253494000,7.42,0.26,27.31,0.010
GILD,"Gilead Sciences Inc",Medical,"Medical - Biomedical",NASDAQ,Yes,73618672,12150800,58.72,5.54,10.83,0.680
GIS,"General Mills","Consumer Staples","Food - Misc & Diversified",NYSE,Yes,36386600,3556200,59.52,3.82,16.00,0.510
GL,"Globe Life Inc",Finance,"Finance - Misc Services",NYSE,Yes,8392159,513100,78.79,6.83,11.91,0.188
GLW,"Corning Inc","Computers and Technology","Communications Components",NYSE,Yes,24171152,6551900,31.73,1.35,24.51,0.220
GM,"General Motors Company",Auto-Tires-Trucks,"Auto - Domestic",NYSE,Yes,48786100,15010801,34.09,1.89,18.46,0.380
GOOG,"Alphabet Cl C","Computers and Technology","Internet - Services",NASDAQ,Yes,1031550320,1833900,1516.62,45.47,35.28,1.520
GOOGL,"Alphabet Cl A","Computers and Technology","Internet - Services",NASDAQ,Yes,1027591840,2258600,1510.80,45.47,35.16,N/A
GPC,"Genuine Parts Company",Auto-Tires-Trucks,"Auto - Truck Replacement Parts",NYSE,Yes,12941370,869400,89.69,5.22,17.98,0.790
GPN,"Global Payments Inc","Business Services","Financial Transaction Services",NYSE,Yes,47609564,2451200,159.10,5.83,28.26,0.195
GPS,"Gap Inc",Retail-Wholesale,"Retail - Apparel & Shoes",NYSE,Yes,7236496,9373200,19.37,-1.45,0.00,0.243
GRMN,"Garmin Ltd","Computers and Technology","Electronics Products - Misc",NASDAQ,Yes,18658992,1444800,97.57,4.38,22.51,0.610
GS,"Goldman Sachs Group",Finance,"Finance - Investment Brokers",NYSE,Yes,65295300,4214500,189.77,23.74,8.24,1.250
GWW,"W.W. Grainger","Industrial Products","Industrial Services",NYSE,Yes,18920650,528500,352.55,16.39,21.82,1.530
HAL,"Halliburton Company",Oils-Energy,"Oil - Field Services",NYSE,Yes,10095360,18266900,11.42,0.79,15.84,0.045
HAS,"Hasbro Inc","Consumer Discretionary","Toys & Game & Hobby",NASDAQ,Yes,11515412,1717000,84.04,3.67,22.94,0.680
HBAN,"Huntington Bcshs",Finance,"Banks - Midwest",NASDAQ,Yes,10000158,10299300,9.83,0.71,14.00,0.150
HBI,"Hanesbrands Inc","Consumer Staples","Textile - Apparel",NYSE,Yes,5751620,3708400,16.52,1.70,10.29,0.150
HCA,"Hca Holdings Inc",Medical,"Medical - Hospitals",NYSE,Yes,42778076,1342600,126.55,9.15,14.77,0.072
HD,"Home Depot",Retail-Wholesale,"Building Prds Retail - Wsale",NYSE,Yes,290341728,3255800,269.72,10.91,25.37,1.500
HES,"Hess Corp",Oils-Energy,"Oil - US Integrated",NYSE,Yes,11094041,3407000,36.12,-2.57,0.00,0.250
HFC,"Hollyfrontier Corp",Oils-Energy,"Oil - Refining and Marketing",NYSE,Yes,2791518,3828000,17.23,2.44,7.61,0.350
HIG,"Hartford Financial Services Group",Finance,"Insurance - Multi Line",NYSE,Yes,13378620,3011900,37.35,5.49,6.84,0.325
HII,"Huntington Ingalls Industries",Aerospace,"Aerospace - Defense",NYSE,Yes,5727999,352400,141.46,13.63,10.75,1.030
HLT,"Hilton Inc","Consumer Discretionary","Hotels & Motels",NYSE,Yes,23299500,2279500,84.02,2.18,40.22,0.150
HOLX,"Hologic Inc",Medical,"Medical Instruments",NASDAQ,Yes,18048664,2526800,69.69,2.58,27.49,N/A
HON,"Honeywell International Inc",Conglomerates,"Conglomerates - Div Operations",NYSE,Yes,113099352,3233600,161.16,7.61,21.91,0.900
HPE,"Hewlett Packard Enterprise Comp","Computers and Technology","Computer - Integrated Systems",NYSE,Yes,10767034,13043500,8.37,1.47,5.99,0.120
HPQ,"HP Inc","Computers and Technology","Computer - Mini",NYSE,Yes,23830172,12223801,17.35,2.25,7.99,0.176
